engine,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
after,sim,500,,,poor,-6.0,average,fading,,2000,235.4,68.0,76.1,0.893,1,3,2,2,6,36,1,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,219.3,73.0,76.1,0.959,1,3,2,2,6,33,1,1,0,1,0.0
after,sim,500,,,poor,-6.0,average,fading,,2000,244.9,65.3,76.1,0.858,1,3,2,4,7,37,4,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,270.6,59.1,76.1,0.777,1,3,1,4,8,41,2,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,213.9,74.8,76.1,0.983,1,3,3,1,6,32,0,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,270.6,59.1,76.1,0.777,1,3,2,4,8,41,2,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,266.4,60.1,76.1,0.789,1,3,2,4,7,41,3,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,270.6,59.1,76.1,0.777,1,3,2,4,8,41,2,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,213.9,74.8,76.1,0.983,1,3,3,1,6,32,0,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,281.3,56.9,76.1,0.747,0,3,3,4,8,43,1,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,266.4,60.1,76.1,0.789,1,3,2,4,7,41,3,1,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,290.9,55.0,76.1,0.723,1,3,2,4,9,44,3,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,255.7,62.6,76.1,0.822,1,3,3,3,7,39,2,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,276.0,58.0,76.1,0.762,1,3,2,4,8,42,3,1,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,276.0,58.0,76.1,0.762,1,3,2,4,8,42,3,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,250.3,63.9,76.1,0.84,1,3,3,3,7,38,1,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,224.7,71.2,76.1,0.936,1,3,2,2,6,34,2,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,276.0,58.0,76.1,0.762,1,3,2,4,8,42,3,1,0,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,205.2,78.0,189.8,0.411,0,5,3,6,11,56,14,0,2,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,213.8,74.8,189.8,0.394,2,5,3,8,15,80,19,0,3,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,169.1,94.6,189.8,0.499,3,6,3,4,11,59,4,2,0,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,258.7,61.8,189.8,0.326,0,5,3,16,22,125,48,1,7,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,194.3,82.3,189.8,0.434,3,5,3,2,8,39,2,0,0,1,0.0
after,sim,500,,,poor,0.0,average,fading,,2000,204.1,78.4,189.8,0.413,2,5,3,4,12,64,8,1,1,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,186.8,85.7,189.8,0.451,3,5,3,2,8,43,1,0,0,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,217.1,73.7,189.8,0.388,0,5,3,5,14,80,19,0,3,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,197.5,81.0,189.8,0.427,3,4,3,3,9,41,3,1,0,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,188.2,85.0,189.8,0.448,2,5,2,4,10,43,3,1,1,1,0.1
after,sim,500,,,poor,0.0,average,fading,,2000,196.9,81.3,189.8,0.428,3,5,3,5,10,54,8,0,1,1,0.1
